"export"
"https://www.eia.gov/realtime_grid/#/data/table?end=20180131&start=20180101&frequency=Daily&bas=0&regions=ndvo"
"Thu Mar 01 2018 08:43:41 GMT+0900 (KST)"
"Source: U.S. Energy Information Administration"
megawatthours,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018,01/13/2018,01/14/2018,01/15/2018,01/16/2018,01/17/2018,01/18/2018,01/19/2018,01/20/2018,01/21/2018,01/22/2018,01/23/2018,01/24/2018,01/25/2018,01/26/2018,01/27/2018,01/28/2018,01/29/2018,01/30/2018,01/31/2018
California (region),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand,645599,704074,727216,714305,712021,668299,655802,731881,729380,716698,675260,687504,665136,642080,703473,713050,715733,718298,712862,669421,665340,727071,722833,728743,732552,699533,666415,647844,725483,720384,717446
Net generation,463629,502312,504456,505148,484644,447821,447952,500797,493884,482843,435107,460105,452264,428364,474015,487101,484557,488237,484276,458660,437506,502041,510543,500446,501674,464103,432315,433092,491871,480451,492836
Total net actual interchange,-179525,-201654,-222762,-209163,-213905,-219968,-207861,-237089,-246264,-234361,-240146,-227413,-231833,-213729,-229468,-225955,-231182,-230069,-228598,-210774,-227842,-225042,-212304,-228303,-230401,-233814,-231742,-213582,-233589,-239945,-224620
Carolinas (region),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand,847133,938726,948954,901939,939699,932742,946665,840094,646932,590003,561119,513368,587356,761043,823663,778424,779099,858007,755994,663462,575237,588743,523900,603365,676274,685613,575060,511872,567562,697175,752846
Net generation,802908,914879,920055,866924,895604,884842,913783,820248,639454,581165,553005,506277,582277,739821,780965,760210,764523,831241,739271,642171,558728,578841,520099,592705,659392,665487,564307,506623,555393,676237,731116
Total net actual interchange,-43153,-22922,-29015,-34530,-43262,-47148,-31935,-19257,-6979,-8233,-7973,-6840,-3964,-20005,-41352,-17222,-14551,-26114,-15470,-20167,-15538,-9484,-3193,-6742,-15322,-18958,-10244,-5112,-12054,-19581,-20210
Central (region),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand,890403,916535,861352,847712,846631,857371,718896,722535,729608,729935,729881,730746,730568,730435,730502,730815,731081,730987,730708,730048,729815,729921,730255,730279,730086,730146,729713,729765,770060,762889,704141
Net generation,898131,922328,866646,863339,861869,860750,753840,750614,756398,746447,713478,871777,843594,811417,869195,963201,954118,865305,782506,698934,664330,749583,776055,774268,754486,722922,660003,694243,783350,790906,733831
Total net actual interchange,7727,5792,5299,15628,15239,3379,34942,28079,26770,19391,20605,25012,23955,22007,22279,32396,30277,25169,21767,18396,18435,19888,21780,22355,19338,19209,19457,18872,15271,28019,29689
Electric Reliability Council of Texas, Inc. (region),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand,1289538,1359965,1256146,1131346,997894,911857,835121,875987,942170,908987,931475,1125030,1075008,1008581,991744,1346556,1377033,1271774,1073285,842195,778334,862835,947602,961351,965970,875552,785403,805590,907101,952333,884283
Net generation,1296554,1369616,1257853,1136071,1013146,913293,838537,878172,945305,913716,937501,1127847,1078760,1010024,999368,1338663,1355690,1252056,1073529,843157,781936,864350,943706,958899,967238,875072,787355,801819,909486,960747,886503
Total net actual interchange,6981,9623,1744,4711,15213,1424,3403,2162,3130,4679,6003,2803,3743,1431,7605,-7912,-21346,-19730,236,950,3583,1503,-3897,-2457,1259,-488,1941,-3773,2366,8390,2199
Florida (region),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand,588600,726999,742781,848894,845301,765417,705763,595054,532016,530372,548418,549423,542257,646332,651526,619209,553822,824101,772550,626218,534952,551546,556743,557933,573613,559588,514959,529302,557586,566569,618637
